Filename,AUC Tumor Contrast,AUC Tumor Correlation,AUC Tumor Energy,AUC Tumor Homogeneity,TTP Tumor Contrast,TTP Tumor Correlation,TTP Tumor Energy,TTP Tumor Homogeneity,peakI Tumor Contrast,peakI Tumor Correlation,peakI Tumor Energy,peakI Tumor Homogeneity,decorr Tumor Contrast,decorr Tumor Correlation,decorr Tumor Energy,decorr Tumor Homogeneity
10N_LS174T.mat,3.11156476933739,0.969484851494565,0.454356954201481,0.826812879827578,44.692808931208,0.786387405401065,0.443209111658163,0.80997620349858,5.02533371500889,0.9853036301256,0.442917513240646,0.823938091069178,25.7310618615723,0.886693752519464,0.699404854213449,0.871788538840612
10R_LS174T.mat,2.89609452218696,0.975298143649533,0.383703197071108,0.813870278917366,84.5481779638974,0.752679889369572,0.349621713861068,0.742395043661673,5.43274332830464,0.984918862344089,0.349460354847571,0.779245811801019,12.2963117099308,0.854503119069238,0.75173453819913,0.901949018181016
11B_LS174T.mat,4.13485689252337,0.980930357581486,0.435881397750322,0.820490129023463,24.726355626947,0.793285862877833,0.427433934595228,0.831881483733233,8.61393837616822,0.987199115910537,0.426181330485423,0.807537758088371,21.0876168224299,0.849215329064482,0.729399464748911,0.886487503482348
11L_LS174T.mat,2.11696978769054,0.977459292784373,0.277863298377972,0.803248537500738,111.717074570267,0.750873150946858,0.256485473279836,0.704484930029574,6.30857844971684,0.985314754268837,0.256112785523059,0.741093299455678,10.5905308983859,0.829097710868354,0.788014877510212,0.915434571378248
11R_LS174T.mat,3.11685250391237,0.97898946467929,0.51052358837509,0.847963927863762,29.5191314553991,0.708725014709865,0.501211552059378,0.879000863635411,5.51342918622848,0.988988534330105,0.497588199459264,0.832090601739744,5.86951291079813,0.7715658561825,0.91873700882317,0.969242852069839
1B_U87.mat,3.03775004703079,0.980018858257028,0.445681024968806,0.849330893516172,113.510984302168,0.704895199361347,0.34555592310317,0.708705914631486,6.27990635647248,0.983359634692139,0.344668653063538,0.790790785475711,0.860794088752325,0.793884332886358,0.900202094337051,0.967849278796047
1L_U87.mat,4.85786604361371,0.986780836550336,0.418611290816392,0.85859380031993,7.22360012780574,0.88544687331309,0.420479711251471,0.870343893438844,8.40542375589105,0.989428130012337,0.418592291767396,0.831801780840514,7.87869438453551,0.888338260994787,0.655299225501147,0.874001418492711
1R_U87.mat,2.05350649350649,0.979675817112039,0.502738905143374,0.878167622210917,7.28199527744982,0.680773488163749,0.505351128366106,0.918701241465341,5.80184179456907,0.988802888309607,0.491944520629097,0.840975405938021,10.9370484061393,0.955867477051068,0.529572290144123,0.825456175324887
1_2L.mat,2.5906564191802,0.978907772481406,0.478973850583996,0.899444024772288,247.881030065739,0.690968522024892,0.221306466870398,0.610176465699587,6.54500193348801,0.979164070192725,0.234057555445885,0.748107771032339,1.95957197409126,0.206921571340482,0.973484148954867,0.992621816208226
2B_U87.mat,5.02536161694434,0.968109809709352,0.584352600788273,0.886458355929798,2.64270954410435,0.880601571740908,0.585945494403766,0.923846661258628,8.8252615265401,0.985569017287753,0.58435601512189,0.877354440677103,10.6163954539584,0.953597469807552,0.625854655058412,0.858172733504619
2N_U87.mat,2.18500584795322,0.971713491478983,0.569764180363186,0.904372175361535,7.53094736842105,0.736681951788889,0.571111064669468,0.913673002793141,6.76230409356726,0.984337074434548,0.568956629937414,0.8724502829582,11.8520350877193,0.93378893469996,0.637484945932077,0.863156253630416
2R_U87.mat,5.38138372637826,0.989136277822137,0.447314390924156,0.85961878086079,112.415430267062,0.800961895286274,0.447010824096858,0.825321872282269,7.370138997345,0.989899807380072,0.447516458809414,0.850874703676105,0.48538445520329,0.696500189744241,0.97196933859474,0.992333011386955
3B_U87.mat,1.2541638064959,0.967562129569028,0.324750327700546,0.84904717520694,71.8017630694752,0.731384299540366,0.365125855804376,0.755376904613292,5.19459698688536,0.985299790650956,0.282841612092048,0.752270433888876,27.4204631670219,0.8366471849079,0.67314084617495,0.858461395879959
3N_U87.mat,4.70673127291776,0.974017840073253,0.507944456022707,0.865145873119404,42.0953466038065,0.665315831149986,0.479654238533079,0.828901718541374,9.20211279902217,0.980639633307432,0.478941857575382,0.834372686219152,21.2167452418369,0.892136104073554,0.656811301887956,0.855961339973991
3R_U87.mat,2.6344378383604,0.985728354574911,0.606234744060355,0.883719855454801,20.1660805781129,0.757172091076353,0.586114834898583,0.905382728165142,4.02278494779583,0.991533676207475,0.583583252742712,0.872353925632396,11.917343387471,0.857375636387445,0.793766108669032,0.918178863690575
8L_LS174T.mat,3.81006819513011,0.974988989266661,0.443711419138293,0.828318024372461,38.4092021588152,0.776845895143673,0.441599377673002,0.819263236091838,7.15911848380889,0.983962044491458,0.441297533913652,0.820539603278221,14.510480294536,0.855754772379578,0.713131120450207,0.883512053850704
8N_LS174T.mat,3.83078815951364,0.971992415896563,0.589081550929024,0.880956951373891,21.8356463052761,0.828361326156943,0.58499153065933,0.875711776550603,5.96364985163205,0.983376309212909,0.584864967493182,0.880289976163196,14.7965368748643,0.88413194501523,0.731191533509567,0.894875521866818
8R_LS174T.mat,2.23275622919399,0.976243274601897,0.354231798441176,0.824547651344248,59.353166296782,0.773665244564222,0.322129442549411,0.75918341089519,6.31840764652477,0.985330064316903,0.321535959259355,0.773954172120567,16.1335682941592,0.854135439149419,0.729193150374469,0.889871715003451
9B_LS174T.mat,2.41598027842227,0.962439564686033,0.384808367236662,0.853131498356896,72.5256554524361,0.676774811294053,0.362523650719194,0.734625952657336,7.06976218097448,0.977361908207475,0.362813239357291,0.795085783691758,16.1191821345708,0.871281541522725,0.793915329862709,0.913545615186974
9L_LS174T.mat,1.39714773335713,0.978661694135373,0.459154395858686,0.88667109569924,247.126254908085,0.642100217780536,0.223551302266797,0.590062880500024,5.82165246296627,0.977581818089779,0.226184694637509,0.711378464417523,1.18756135106193,0.0748739072940274,0.991963020125819,0.997415748130786
9R_LS174T.mat,3.66961432386289,0.967545494755937,0.395308559148264,0.81019988692742,45.9885468195947,0.746982462563179,0.386844374968617,0.782898945897498,6.52934706474631,0.984004012621717,0.386264920009178,0.788672389681167,21.9495086021976,0.865208817593523,0.682048547447467,0.86558490163625
